Country,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
South Africa,bronze,"2750,2856",0.004,1.12,1.46
South Africa,bronze,"2579,3160,3330,2567,3393,2260,3370",0.251,70.28,91.36
South Africa,bronze,3001,0.138,38.64,50.23
South Africa,bronze,2840,0.226,63.28,82.26
South Africa,bronze,3237,0.008,2.24,2.91
South Africa,bronze,3335,0.03,8.4,10.92
South Africa,bronze,2920,0.007,1.96,2.55
South Africa,gold,3428,0.251,70.28,91.36
South Africa,bronze,2649,0.006,1.68,2.18
India,silver,2805,0.151,42.28,54.96
India,bronze,3001,0.138,38.64,50.23
India,bronze,"3193,3160,3330,3406,3370",0.151,42.28,54.96
India,gold,3428,0.151,42.28,54.96
Pakistan,bronze,3001,0.138,38.64,50.23
Pakistan,bronze,"2579,3193,3160,2260,3370",0.243,68.04,88.45
Pakistan,bronze,"3168,2920",0.187,52.36,68.07
Bangladesh,bronze,3001,0.138,38.64,50.23
Bangladesh,bronze,"3160,2260,3370",0.203,56.84,73.89
Bangladesh,bronze,2920,0.152,42.56,55.33
Zambia,bronze,"2750,3160,3193,2260,3370,3168",0.203,56.84,73.89
Zambia,bronze,3001,0.138,38.64,50.23
Zambia,bronze,2920,0.152,42.56,55.33
Namibia,bronze,3001,0.138,38.64,50.23
Namibia,bronze,3370,0.203,56.84,73.89
Papua new gvineya,bronze,3001,0.138,38.64,50.23
Papua new gvineya,bronze,3370,0.203,56.84,73.89
Algeria,bronze,"2750,3193,3160,3330,2260,3370,3168",0.203,56.84,73.89
Algeria,bronze,3001,0.138,38.64,50.23
Algeria,bronze,2920,0.152,42.56,55.33
Ethiopia,bronze,"2750,3193,3370",0.203,56.84,73.89
Ethiopia,bronze,3001,0.138,38.64,50.23
Ethiopia,bronze,3168,0.152,42.56,55.33
Mozambique,bronze,3001,0.138,38.64,50.23
Mozambique,bronze,"3411,3370",0.203,56.84,73.89
Angola,bronze,"2750,3193,3160,2260,3370",0.203,56.84,73.89
Angola,bronze,3001,0.138,38.64,50.23
Angola,bronze,2920,0.152,42.56,55.33
Ukraine,bronze,"2750,2579,3193,3330,2567,2260,3393,3370",0.502,140.56,182.73
Ukraine,bronze,3001,0.138,38.64,50.23
Ukraine,bronze,2738,0.48,134.4,174.72
Ukraine,bronze,2263,0.344,96.32,125.22
Ukraine,bronze,3309,0.118,33.04,42.95
Ukraine,bronze,3328,0.206,57.68,74.98
Ukraine,bronze,3237,0.016,4.48,5.82
Ukraine,bronze,"3168,2920",0.376,105.28,136.86
Ukraine,bronze,3335,0.03,8.4,10.92
Ukraine,gold,3428,0.502,140.56,182.73
Ukraine,bronze,3418,0.04,11.2,14.56
Egypt,bronze,"2750,3193,3330,3160,2260,3340,3393,3370,3168",0.203,56.84,73.89
Egypt,bronze,3001,0.138,38.64,50.23
Egypt,bronze,2920,0.124,34.72,45.14
Brazil,bronze,"2750,3160,2579,3193,2567,3365,3393,2260,3406,3370",0.502,140.56,182.73
Brazil,bronze,"3089,3415,3246,2920,3412,3413",0.007,1.96,2.55
Brazil,bronze,3001,0.138,38.64,50.23
Brazil,bronze,2263,0.256,71.68,93.18
Brazil,bronze,3018,0.122,34.16,44.41
Brazil,bronze,2739,0.01,2.8,3.64
Brazil,bronze,2738,0.382,106.96,139.05
Brazil,bronze,3215,0.035,9.8,12.74
Brazil,bronze,3237,0.008,2.24,2.91
Brazil,bronze,"2951,3104",0.004,1.12,1.46
Brazil,bronze,3367,0.115,32.2,41.86
Brazil,bronze,"2404,3229",0.091,25.48,33.12
Brazil,bronze,3252,0.063,17.64,22.93
Brazil,gold,3428,0.502,140.56,182.73
Brazil,bronze,3264,0.011,3.08,4.00
Brazil,bronze,3398,0.012,3.36,4.37
Brazil,bronze,2842,0.006,1.68,2.18
Iran,bronze,"3193,3330,3370,3168",0.136,38.08,49.50
Peru ,bronze,2457,0.059,16.52,21.48
Peru ,bronze,"2750,3193,3160,2260,3370",0.203,56.84,73.89
Peru ,bronze,3001,0.138,38.64,50.23
Peru ,bronze,2920,0.152,42.56,55.33
Zimbabwe,bronze,3001,0.138,38.64,50.23
Zimbabwe,bronze,"3160,3370",0.203,56.84,73.89
Zimbabwe,bronze,3168,0.152,42.56,55.33
Nepal,bronze,3001,0.138,38.64,50.23
Nepal,bronze,"3193,3411,3370",0.203,56.84,73.89
Uzbekistan,bronze,"2579,3160,3193,3330,2260,3370",0.502,140.56,182.73
Uzbekistan,bronze,3001,0.138,38.64,50.23
Uzbekistan,bronze,"3168,2920",0.376,105.28,136.86
Uzbekistan,bronze,3335,0.056,15.68,20.38
Uzbekistan,gold,3428,0.502,140.56,182.73
Nigeria,bronze,"2750,2579,3193,3160,3330,2567,2260,3370",0.351,98.28,127.76
Nigeria,bronze,3001,0.138,38.64,50.23
Nigeria,bronze,3168,0.263,73.64,95.73
Nigeria,bronze,3335,0.148,41.44,53.87
Nigeria,bronze,2920,0.089,24.92,32.40
Nigeria,gold,3428,0.351,98.28,127.76
Swaziland,bronze,3001,0.138,38.64,50.23
Swaziland,bronze,3370,0.203,56.84,73.89
Congo (Dem. Republic),bronze,"2750,3160,3330,2260,3370,3168",0.203,56.84,73.89
Congo (Dem. Republic),bronze,3001,0.138,38.64,50.23
Congo (Dem. Republic),bronze,2920,0.124,34.72,45.14
