countryId,providerId,price,rank
1,2260,743,Bronze
1,3168,233,Silver
1,3177,381,Bronze
1,3309,345,Bronze
1,3335,277,Bronze
1,3340,291,Bronze
1,3418,336,Bronze
1,3428,743,Gold
2,2260,3929,Bronze
2,2579,3467,Bronze
2,2750,1857,Bronze
2,3001,120,Silver
2,3237,1591,Bronze
2,3335,1310,Bronze
2,3428,3467,Gold
4,2217,190,Bronze
4,2263,349,Bronze
4,2739,244,Bronze
4,2750,350,Bronze
4,3001,144,Silver
4,3109,140,Bronze
4,3160,190,Bronze
4,3193,204,Bronze
4,3371,143,Bronze
5,2579,224,Bronze
5,3001,120,Silver
5,3178,120,Silver
5,3193,213,Bronze
5,3428,224,Gold
6,54,173,Bronze
6,1056,102,Bronze
6,2260,253,Bronze
6,2272,93,Silver
6,2750,253,Bronze
6,3001,110,Silver
6,3029,130,Gold
6,3061,170,Gold
6,3094,104,Bronze
6,3109,90,Bronze
6,3160,101,Bronze
6,3168,99,Silver
6,3267,96,Silver
6,3320,92,Silver
6,3327,180,Gold
6,3334,94,Silver
6,3347,100,Bronze
6,3355,103,Bronze
6,3386,105,Bronze
6,3406,110,Bronze
6,3417,98,Bronze
6,3424,130,Gold
6,3426,91,Silver
8,2260,280,Bronze
8,3001,120,Silver
8,3160,151,Bronze
8,3193,213,Bronze
8,3428,280,Gold
9,2354,120,Silver
9,2750,196,Bronze
9,3001,120,Silver
9,3168,135,Silver
9,3428,196,Gold
10,2318,130,Bronze
10,2750,300,Bronze
10,2840,196,Bronze
10,3001,200,Silver
10,3082,194,Bronze
10,3109,100,Bronze
10,3160,160,Bronze
10,3237,197,Bronze
11,2750,239,Bronze
11,3001,120,Silver
11,3109,121,Bronze
11,3178,120,Silver
11,3193,213,Bronze
14,2217,264,Bronze
14,2260,786,Bronze
14,2318,157,Bronze
14,2579,694,Bronze
14,3001,120,Silver
14,3193,213,Bronze
14,3328,349,Bronze
14,3428,694,Gold
15,1015,486,Bronze
15,2217,330,Bronze
15,2263,692,Bronze
15,2284,290,Bronze
15,2295,507,Bronze
15,2579,1581,Bronze
15,2738,830,Bronze
15,2739,496,Bronze
15,3001,120,Silver
15,3094,281,Bronze
15,3109,255,Bronze
15,3193,213,Bronze
15,3237,211,Bronze
15,3309,265,Bronze
15,3328,237,Bronze
15,3418,368,Bronze
15,3428,1581,Gold
16,1015,475,Bronze
16,2260,616,Bronze
16,2295,403,Bronze
16,2442,410,Bronze
16,2476,419,Bronze
16,2750,616,Bronze
16,3094,400,Bronze
16,3109,330,Bronze
16,3160,360,Bronze
16,3168,340,Silver
16,3212,370,Bronze
16,3309,477,Bronze
16,3328,390,Bronze
16,3329,380,Bronze
16,3368,329,Gold
16,3397,411,Bronze
16,3402,444,Bronze
17,2217,233,Bronze
17,2579,264,Bronze
17,3001,120,Silver
17,3109,121,Bronze
17,3168,248,Silver
17,3428,264,Gold
18,2260,196,Bronze
18,2354,120,Silver
18,3001,120,Silver
18,3428,196,Gold
19,2217,173,Bronze
19,2579,280,Bronze
19,3001,120,Silver
19,3168,121,Silver
19,3178,120,Silver
19,3193,213,Bronze
19,3330,280,Bronze
19,3335,223,Bronze
19,3428,280,Gold
20,2217,231,Bronze
20,3001,120,Silver
21,2260,280,Bronze
21,2750,196,Bronze
21,3001,120,Silver
21,3160,121,Bronze
21,3193,213,Bronze
21,3428,280,Gold
22,2579,700,Bronze
22,3193,530,Bronze
22,3406,560,Bronze
23,2260,2476,Bronze
23,2263,1388,Bronze
23,2738,1561,Bronze
23,3001,120,Silver
23,3160,296,Bronze
23,3225,314,Silver
23,3329,1186,Bronze
23,3428,2476,Gold
24,2260,507,Bronze
24,3001,120,Silver
24,3193,213,Bronze
24,3428,507,Gold
25,2217,233,Bronze
25,2579,258,Bronze
25,3001,120,Silver
25,3193,213,Bronze
25,3428,258,Gold
26,2750,196,Bronze
26,3001,120,Silver
26,3428,196,Gold
27,32,193,Bronze
27,2260,702,Bronze
27,2750,247,Bronze
27,3001,120,Silver
27,3168,121,Silver
27,3193,619,Bronze
27,3237,350,Bronze
27,3428,619,Gold
28,2750,196,Bronze
28,3001,120,Silver
28,3428,196,Gold
30,2377,121,Gold
30,2579,303,Bronze
30,3001,120,Silver
30,3193,213,Bronze
30,3428,303,Gold
31,2217,200,Bronze
31,2260,220,Bronze
31,3001,110,Silver
31,3109,100,Bronze
31,3155,44,Bronze
31,3160,110,Bronze
32,2260,805,Bronze
32,2263,507,Bronze
32,2738,608,Bronze
32,2739,368,Bronze
32,3001,120,Silver
32,3109,428,Bronze
32,3193,213,Bronze
32,3237,144,Bronze
32,3312,172,Bronze
32,3328,636,Bronze
32,3335,216,Bronze
32,3428,805,Gold
33,2236,110,Gold
33,2286,130,Bronze
33,2335,190,Gold
33,2579,593,Bronze
33,3109,143,Bronze
33,3193,204,Bronze
33,3243,119,Gold
33,3253,114,Gold
33,3288,140,Gold
34,2738,569,Bronze
34,2750,595,Bronze
34,3001,120,Silver
34,3193,213,Bronze
34,3309,562,Bronze
34,3428,595,Gold
35,3193,213,Bronze
35,3330,337,Bronze
35,3428,337,Gold
36,2217,132,Bronze
36,2262,168,Silver
36,2430,215,Bronze
36,2462,344,Bronze
36,2567,227,Bronze
36,2568,215,Silver
36,2675,215,Bronze
36,3001,190,Silver
36,3109,200,Bronze
36,3160,140,Bronze
36,3198,131,Bronze
36,3228,130,Bronze
36,3406,180,Bronze
37,2217,477,Bronze
37,2260,507,Bronze
37,2567,373,Bronze
37,3001,120,Silver
37,3178,120,Silver
37,3193,213,Bronze
37,3225,134,Silver
37,3309,120,Bronze
37,3335,122,Bronze
37,3371,121,Bronze
37,3428,507,Gold
38,2217,187,Bronze
38,2354,120,Silver
38,2750,196,Bronze
38,3001,120,Silver
38,3428,196,Gold
39,2263,333,Bronze
39,2286,221,Bronze
39,2567,373,Bronze
39,2579,870,Bronze
39,2738,302,Bronze
39,2750,507,Bronze
39,3001,120,Silver
39,3056,121,Silver
39,3109,306,Bronze
39,3160,179,Bronze
39,3193,213,Bronze
39,3237,120,Bronze
39,3335,124,Bronze
40,3001,120,Silver
40,3160,253,Bronze
40,3168,185,Silver
40,3193,213,Bronze
40,3428,253,Gold
41,2263,165,Bronze
41,2354,120,Silver
41,2567,373,Bronze
41,2709,123,Silver
41,2750,619,Bronze
41,3001,120,Silver
41,3109,121,Bronze
41,3168,122,Silver
41,3193,213,Bronze
41,3428,619,Gold
42,2260,196,Bronze
42,3001,120,Silver
42,3428,196,Gold
43,2263,1378,Bronze
43,2579,3163,Bronze
43,2738,1441,Bronze
43,2750,2476,Bronze
43,3087,486,Bronze
43,3193,1783,Bronze
43,3225,420,Silver
43,3329,1265,Bronze
43,3394,1202,Bronze
43,3418,709,Bronze
43,3428,3163,Gold
44,2750,743,Bronze
44,3001,120,Silver
44,3193,213,Bronze
44,3309,705,Bronze
44,3428,743,Gold
45,2579,1384,Bronze
45,2738,426,Bronze
45,2750,1040,Bronze
45,3001,120,Silver
45,3193,213,Bronze
45,3335,743,Bronze
45,3428,1384,Gold
46,2263,712,Bronze
46,2738,854,Bronze
46,2739,588,Bronze
46,2750,1238,Bronze
46,3087,527,Bronze
46,3094,416,Bronze
46,3237,374,Bronze
46,3296,378,Bronze
46,3428,1238,Gold
47,2217,161,Bronze
47,2260,303,Bronze
47,3001,120,Silver
47,3193,213,Bronze
47,3428,303,Gold
49,2260,571,Bronze
49,2476,556,Bronze
49,3001,120,Silver
49,3193,213,Bronze
49,3237,540,Bronze
49,3335,448,Bronze
49,3340,527,Bronze
49,3428,571,Gold
50,2260,4085,Bronze
50,2263,2405,Bronze
50,2567,3064,Bronze
50,2738,2584,Bronze
50,3001,120,Silver
50,3109,1200,Bronze
50,3160,121,Bronze
50,3193,213,Bronze
50,3329,1178,Bronze
50,3335,1186,Bronze
50,3428,4085,Gold
52,2217,188,Bronze
52,2750,426,Bronze
52,3001,190,Silver
52,3109,200,Bronze
52,3193,230,Bronze
52,3237,200,Bronze
52,3335,342,Bronze
52,3371,392,Bronze
54,2354,120,Silver
54,2579,448,Bronze
54,2750,309,Bronze
54,3109,299,Bronze
54,3160,291,Bronze
54,3193,213,Bronze
54,3330,420,Bronze
54,3370,420,Bronze
55,3001,120,Silver
55,3193,213,Bronze
55,3330,303,Bronze
55,3428,303,Gold
56,2260,2476,Bronze
56,2263,1432,Bronze
56,2738,2148,Bronze
56,2739,1170,Bronze
56,3109,625,Bronze
56,3160,592,Bronze
56,3329,949,Bronze
56,3335,469,Bronze
56,3428,2476,Gold
57,3001,120,Silver
57,3193,456,Bronze
57,3428,456,Gold
58,2750,196,Bronze
58,3001,120,Silver
58,3428,196,Gold
60,3001,120,Silver
60,3160,196,Bronze
60,3428,196,Gold
61,2750,196,Bronze
61,3001,120,Silver
61,3428,196,Gold
62,2750,303,Bronze
62,3001,120,Silver
62,3094,650,Bronze
62,3193,213,Bronze
62,3329,675,Bronze
62,3335,563,Bronze
62,3370,991,Bronze
62,3428,991,Gold
63,2263,791,Bronze
63,2291,508,Bronze
63,2295,608,Bronze
63,2567,1845,Bronze
63,2579,2846,Bronze
63,2738,949,Bronze
63,2739,567,Bronze
63,2750,1114,Bronze
63,3001,120,Silver
63,3087,587,Bronze
63,3193,213,Bronze
63,3309,575,Bronze
63,3335,656,Bronze
63,3418,890,Bronze
63,3428,2846,Gold
64,2354,120,Silver
64,2579,196,Bronze
64,3001,120,Silver
64,3160,121,Bronze
64,3428,196,Gold
65,2260,280,Bronze
65,2354,120,Silver
65,3001,120,Silver
65,3109,142,Bronze
65,3193,213,Bronze
65,3428,280,Gold
67,2750,18567,Bronze
67,3001,120,Silver
67,3160,482,Bronze
67,3237,383,Bronze
67,3428,18567,Gold
68,2354,120,Silver
68,2750,196,Bronze
68,3001,120,Silver
68,3168,121,Silver
68,3428,196,Gold
69,2217,233,Bronze
69,2750,264,Bronze
69,3001,120,Silver
69,3193,213,Bronze
69,3428,264,Gold
70,2579,280,Bronze
70,2750,196,Bronze
70,3001,120,Silver
70,3160,121,Bronze
70,3193,213,Bronze
70,3428,280,Gold
71,2750,196,Bronze
71,3001,120,Silver
71,3168,121,Silver
71,3428,196,Gold
72,2579,337,Bronze
72,3001,120,Silver
72,3193,213,Bronze
72,3225,179,Silver
72,3428,337,Gold
73,2404,289,Gold
73,2579,1137,Bronze
73,2738,427,Bronze
73,2951,361,Bronze
73,3193,362,Bronze
73,3229,324,Silver
73,3252,360,Bronze
73,3264,659,Bronze
73,3274,304,Bronze
73,3335,348,Bronze
73,3363,303,Bronze
73,3365,358,Bronze
73,3398,345,Bronze
73,3412,358,Gold
73,3413,346,Bronze
73,3415,347,Bronze
75,2750,196,Bronze
75,3001,120,Silver
75,3428,196,Gold
76,2260,196,Bronze
76,3001,120,Silver
76,3160,126,Bronze
76,3428,196,Gold
77,2750,991,Bronze
77,3001,120,Silver
77,3193,213,Bronze
77,3428,991,Gold
78,2442,1301,Bronze
78,2579,1977,Bronze
78,2738,890,Bronze
78,2750,1486,Bronze
78,3109,521,Bronze
78,3160,738,Bronze
78,3193,213,Bronze
78,3237,991,Bronze
78,3329,1107,Bronze
78,3335,559,Bronze
78,3418,746,Bronze
78,3428,1977,Gold
80,2354,120,Silver
80,2579,196,Bronze
80,3001,120,Silver
80,3428,196,Gold
81,2579,196,Bronze
81,3001,120,Silver
81,3428,196,Gold
82,2750,1857,Bronze
82,3001,120,Silver
82,3160,269,Bronze
82,3225,420,Silver
82,3309,2195,Bronze
82,3370,3954,Bronze
83,2260,672,Bronze
83,2263,608,Bronze
83,2750,507,Bronze
83,3001,120,Silver
83,3193,213,Bronze
83,3237,181,Bronze
83,3335,372,Bronze
83,3428,608,Gold
84,2750,3095,Bronze
84,3001,120,Silver
84,3193,213,Bronze
84,3237,1449,Bronze
84,3309,1806,Bronze
84,3428,3095,Gold
85,2260,896,Bronze
85,2738,227,Bronze
85,3237,179,Bronze
85,3239,121,Silver
85,3370,791,Bronze
85,3428,791,Gold
86,2263,2372,Bronze
