Country,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
Canada,,,,,40
Canada,Gold,2266,0.054,15.12,79
Canada,Bronze,2441,0.032,8.96,78
Canada,Bronze,2748,0.032,8.96,73
Canada,Bronze,2750,0.167,46.76,74
Canada,Silver,3001,0.087,24.36,79
Canada,Bronze,3140,0.034,9.52,73
Canada,Bronze,3160,,,74
Canada,Bronze,3198,0.032,8.96,90
Canada,Bronze,3330,,,75
Canada,Gold,3428,,,110
United Kingdom,,,,,40
USA,,,,,75
USA,Bronze,2263,0.411,115.08,160
USA,Bronze,2495,,,99
USA,Silver,2617,1.66,464.8,535
USA,Bronze,2738,0.695,194.6,224
USA,Gold,3170,0.44,123.2,192
USA,Bronze,3177,0.934,261.52,403
USA,Bronze,3182,0.054,15.12,80
USA,Bronze,3193,1.273,356.44,247
USA,Bronze,3370,,,622
Pakistan,,,,,24
Philippines,,,,,29
Ethiopia,,,,,31
USA Virtual,,,,,70
USA Virtual,Silver,2262,0.04,11.2,70
USA Virtual,Gold,2266,0.054,15.12,70
USA Virtual,Bronze,2440,,,94
USA Virtual,Bronze,"2461,2750",0.167,46.76,94
USA Virtual,Bronze,"2567,2681",,,74
USA Virtual,Bronze,2858,0.116,32.48,97
USA Virtual,Bronze,3140,0.051,14.28,72
USA Virtual,Bronze,3154,0.114,31.92,75
USA Virtual,Bronze,3160,,,70
USA Virtual,Bronze,3209,0.028,7.84,71
USA Virtual,Bronze,3228,0.047,13.16,69
Afghanistan,,,,,31
Peru,,,,,33
Egypt,,,,,30
Georgia,,,,,34
Finland,,,,,29
Papua New Guinea,,,,,70
Ivory Coast,,,,,32
Chad,,,,,31
Nepal,,,,,33
Moldova,,,,,30
Croatia,,,,,34
Nicaragua,,,,,29
Cuba,,,,,120
Mongolia,,,,,32
Slovenia,,,,,31
Benin,,,,,33
Belarus,,,,,100
Botswana,,,,,100
DR Congo,,,,,30
Madagascar,,,,,34
Colombia,,,,,19
Algeria,,,,,29
Austria,,,,,32
Panama,,,,,31
Norway,,,,,33
Ireland,,,,,30
Mauritius,,,,,34
Switzerland,,,,,29
Costa Rica,,,,,60
Bahrain,,,,,90
Gambia,,,,,32
Liberia,,,,,31
Angola,,,,,33
Armenia,,,,,30
Gabon,,,,,34
Hungary,,,,,29
Guinea,,,,,32
Serbia,,,,,31
Burundi,,,,,33
South Sudan,,,,,30
Maldives,,,,,200
Albania,,,,,80
Guinea-Bissau,,,,,80
Sierra Leone,,,,,34
Azerbaijan,,,,,29
Slovakia,,,,,32
North Macedonia,,,,,31
Togo,,,,,33
Lebanon,,,,,170
Hong Kong,,,,,30
Denmark,,,,,33
Tunisia,,,,,80
Kazakhstan,,,,,30
Latvia,,,,,34
Uganda,,,,,29
Greece,,,,,32
Estonia,,,,,31
Fiji,,,,,70
Taiwan,,,,,33
Kyrgyzstan,,,,,30
Bolivia,,,,,34
Haiti,,,,,29
Myanmar,,,,,32
Dominican Republic,,,,,70
Belgium,,,,,31
Eswatini,,,,,33
Kuwait,,,,,90
Laos,,,,,30
Niger,,,,,100
Tajikistan,,,,,34
Qatar,,,,,90
El Salvador,,,,,80
New Zealand,,,,,80
Libya,,,,,90
Honduras,,,,,29
United Arab Emirates,,,,,60
Namibia,,,,,60
Equatorial Guinea,,,,,80
Somalia,,,,,70
Jordan,,,,,32
Central African Republic,,,,,32
Zimbabwe,,,,,80
Turkmenistan,,,,,31
Rwanda,,,,,80
Sudan,,,,,90
Reunion,,,,,60
Oman,,,,,80
Bhutan,,,,,33
China,,,,,30
Barbados,,,,,34
Martinique,,,,,29
Puerto Rico,,,,,60
Guadeloupe,,,,,32
Luxembourg,,,,,31
Antigua and Barbuda,,,,,33
Djibouti,,,,,30
French Guiana,,,,,34
Saint Lucia,,,,,29
Montenegro,,,,,80
Bahamas,,,,,70
Grenada,,,,,90
Brunei,,,,,170
Cayman Islands,,,,,32
Saint Vincent,,,,,31
Saint Kitts and Nevis,,,,,33
Aruba,,,,,30
Comoros,,,,,80
Malta,,,,,34
Singapore,,,,,29
Anguilla,,,,,80
Sao Tome and Principe,,,,,32
Palestine,,,,,31
Monaco,,,,,33
Belize,,,,,70
New Caledonia,,,,,30
Seychelles,,,,,34
Montserrat,,,,,29
Dominica,,,,,32
South Korea,,,,,31
Macau,,,,,120
Iceland,,,,,100
Eritrea,,,,,33
Kosovo,,,,,30
Uzbekistan,,,,,34
