Service,Country,Position,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
IMO messenger,South Africa,3|0.919,3,"2579,3160,3168,3330,3370",0.919000,257.32,321.65
IMO messenger,South Africa,3|0.006,3,"2649,3155",0.006000,1.68,2.52
IMO messenger,South Africa,3|0.004,3,2750,0.004000,1.12,1.68
IMO messenger,South Africa,3|0.118,3,3001,0.118000,33.04,49.56
IMO messenger,South Africa,3|0.008,3,3237,0.008000,2.24,3.36
IMO messenger,South Africa,3|0.135,3,"3335,3393",0.135000,37.80,56.70
IMO messenger,India,3|0.502,3,"2579,3160,3193,3309,3330,3370,3393,3406",0.502000,140.56,175.70
IMO messenger,India,3|0.016,3,2750,0.016000,4.48,6.72
IMO messenger,India,3|0.054,3,2805,0.054000,15.12,22.68
IMO messenger,India,3|0.118,3,3001,0.118000,33.04,49.56
IMO messenger,India,3|0.027,3,"3335,3371",0.027000,7.56,11.34
IMO messenger,Pakistan,3|0.502,3,"2579,3160,3193,3370,3371,3393",0.502000,140.56,175.70
IMO messenger,Pakistan,3|0.118,3,3001,0.118000,33.04,49.56
IMO messenger,Pakistan,3|0.05,3,3168,0.050000,14.00,21.00
IMO messenger,Pakistan,3|0.107,3,"3309,3335",0.107000,29.96,44.94
IMO messenger,Bangladesh,3|0.502,3,"2579,3160,3370,3393",0.502000,140.56,175.70
IMO messenger,Bangladesh,3|0.118,3,3001,0.118000,33.04,49.56
IMO messenger,Bangladesh,3|0.1,3,3168,0.100000,28.00,42.00
IMO messenger,Bangladesh,3|0.208,3,"3309,3371",0.208000,58.24,81.54
IMO messenger,Zambia,3|0.502,3,"2579,3160,3193,3309,3370,3393",0.502000,140.56,175.70
IMO messenger,Zambia,3|0.108,3,2750,0.108000,30.24,45.36
IMO messenger,Zambia,3|0.118,3,3001,0.118000,33.04,49.56
IMO messenger,Zambia,3|0.168,3,"3371,3418",0.168000,47.04,70.56
IMO messenger,Namibia,3|0.502,3,"2579,3370",0.502000,140.56,175.70
IMO messenger,Namibia,3|0.118,3,3001,0.118000,33.04,49.56
IMO messenger,Papua new gvineya,3|0.118,3,3001,0.118000,33.04,49.56
IMO messenger,Papua new gvineya,3|0.502,3,3370,0.502000,140.56,175.70
IMO messenger,Algeria,3|0.502,3,"2579,3160,3193,3309,3330,3370,3371,3393",0.502000,140.56,175.70
IMO messenger,Algeria,3|0.108,3,2750,0.108000,30.24,45.36
IMO messenger,Algeria,3|0.118,3,3001,0.118000,33.04,49.56
IMO messenger,Ethiopia,3|0.502,3,"2579,3193,3309,3370",0.502000,140.56,175.70
IMO messenger,Ethiopia,3|0.076,3,2750,0.076000,21.28,31.92
IMO messenger,Ethiopia,3|0.118,3,3001,0.118000,33.04,49.56
IMO messenger,Ethiopia,3|0.059,3,3168,0.059000,16.52,24.78
IMO messenger,Ethiopia,3|0.185,3,3371,0.185000,51.80,72.52
IMO messenger,Ethiopia,3|0.163,3,3393,0.163000,45.64,68.46
IMO messenger,Mozambique,3|0.502,3,"2579,3370",0.502000,140.56,175.70
IMO messenger,Mozambique,3|0.118,3,3001,0.118000,33.04,49.56
IMO messenger,Angola,3|0.502,3,"2579,2750,3160,3193,3309,3370,3393",0.502000,140.56,175.70
IMO messenger,Angola,3|0.118,3,3001,0.118000,33.04,49.56
IMO messenger,Angola,3|0.366,3,3371,0.366000,102.48,128.10
IMO messenger,Ukraine,3|0.266,3,2263,0.266000,74.48,104.27
IMO messenger,Ukraine,3|0.502,3,"2579,2750,3193,3330,3370",0.502000,140.56,175.70
IMO messenger,Ukraine,3|0.478,3,2738,0.478000,133.84,167.30
IMO messenger,Ukraine,3|0.118,3,3001,0.118000,33.04,49.56
IMO messenger,Ukraine,3|0.031,3,3168,0.031000,8.68,13.02
IMO messenger,Ukraine,3|0.038,3,"3309,3328,3335,3418",0.038000,10.64,15.96
IMO messenger,Ukraine,3|0.067,3,3340,0.067000,18.76,28.14
IMO messenger,Ukraine,3|0.214,3,3371,0.214000,59.92,83.89
IMO messenger,Ukraine,3|0.107,3,3393,0.107000,29.96,44.94
IMO messenger,Egypt,3|0.502,3,"2579,3160,3193,3330,3370",0.502000,140.56,175.70
IMO messenger,Egypt,3|0.108,3,2750,0.108000,30.24,45.36
IMO messenger,Egypt,3|0.118,3,3001,0.118000,33.04,49.56
IMO messenger,Egypt,3|0.376,3,"3168,3309,3340,3393",0.376000,105.28,131.60
IMO messenger,Egypt,3|0.178,3,3335,0.178000,49.84,74.76
IMO messenger,Brazil,3|0.235,3,2263,0.235000,65.80,92.12
IMO messenger,Brazil,3|0.018,3,"2404,3229",0.018000,5.04,7.56
IMO messenger,Brazil,3|0.502,3,"2579,2750,3160,3193,3309,3365,3370,3398,3406",0.502000,140.56,175.70
