Country,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
Indonesia,,,,,40
USA,,,,,40
Lesotho,,,,,31
Ecuador,,,,,100
El Salvador,,,,,90
Uganda,,,,,33
Malawi,,,,,29
Kenya,,,,,34
Panama,,,,,30
Jamaica,,,,,90
Venezuela,,,,,200
Kazakhstan,,,,,32
Paraguay,,,,,100
Kyrgyzstan,,,,,200
Jordan,,,,,100
Cameroon,,,,,31
Ivory Coast,,,,,29
Bulgaria,,,,,34
Libya,,,,,80
Mauritius,,,,,100
Mali,,,,,30
Rwanda,,,,,33
Gabon,,,,,32
Nicaragua,,,,,29
Moldova,,,,,31
Thailand,,,,,34
Benin,,,,,100
Costa Rica,,,,,100
Burkina Faso,,,,,30
Qatar,,,,,100
Reunion,,,,,110
Oman,,,,,110
Congo,,,,,33
Yemen,,,,,70
Uruguay,,,,,32
Iraq,,,,,100
Togo,,,,,29
Niger,,,,,34
Bhutan,,,,,70
Burundi,,,,,31
Equatorial Guinea,,,,,100
Trinidad and Tobago,,,,,60
South Sudan,,,,,30
Mauritania,,,,,100
China,,,,,130
Kuwait,,,,,110
Guinea-Bissau,,,,,110
Maldives,,,,,100
Bosnia and Herzegovina,,,,,140
Somalia,,,,,33
Barbados,,,,,200
Gambia,,,,,100
Armenia,,,,,230
Guyana,,,,,29
Chad,,,,,100
Switzerland,,,,,130
Serbia,,,,,140
Estonia,,,,,40
Bahrain,,,,,32
Guadeloupe,,,,,100
Cyprus,,,,,30
Luxembourg,,,,,140
Suriname,,,,,34
Guatemala,,,,,31
Madagascar,,,,,110
Antigua and Barbuda,,,,,110
Djibouti,,,,,110
French Guiana,,,,,100
Saint Lucia,,,,,100
Montenegro,,,,,29
Cuba,,,,,33
Sierra Leone,,,,,30
Bahamas,,,,,100
Bolivia,,,,,32
Grenada,,,,,100
Latvia,,,,,31
Tajikistan,,,,,34
Brunei,,,,,29
Cayman Islands,,,,,170
Saint Vincent,,,,,120
Albania,,,,,140
Slovenia,,,,,30
Saint Kitts and Nevis,,,,,33
Lithuania,,,,,200
CAF,,,,,32
Liberia,,,,,110
Japan,,,,,110
Guinea,,,,,29
Aruba,,,,,34
Comoros,,,,,100
Slovakia,,,,,110
Anguilla,,,,,80
Sao Tome and Principe,,,,,31
Croatia,,,,,30
Cape Verde,,,,,33
Monaco,,,,,100
Macedonia,,,,,110
Belize,,,,,29
New Caledonia,,,,,100
New Zealand,,,,,78
Mongolia,,,,,34
Seychelles,,,,,32
Montserrat,,,,,100
Dominica,,,,,70
Macau,,,,,70
Iceland,,,,,31
Eritrea,,,,,100
Gibraltar,,,,,400
