Country,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
South Africa,,,,,44
South Africa,Bronze,2217,0.624,174.72,200
South Africa,Bronze,2260,,,220
South Africa,Silver,3001,0.337,94.36,110
South Africa,Bronze,3109,0.318,89.04,100
South Africa,Bronze,3155,,,44
South Africa,Bronze,3160,,,110
Indonesia,,,,,90
Indonesia,Bronze,54,,,173
Indonesia,Bronze,1056,,,102
Indonesia,Bronze,2260,,,253
Indonesia,Silver,2272,,,93
Indonesia,Bronze,2750,0.786,220.08,253
Indonesia,Silver,3001,,,110
Indonesia,Gold,3029,0.16,44.8,130
Indonesia,Gold,3061,,,170
Indonesia,Bronze,3094,,,104
Indonesia,Bronze,3109,0.163,45.64,90
Indonesia,Bronze,3160,,,101
Indonesia,Silver,3168,,,99
Indonesia,Silver,3267,,,96
Indonesia,Silver,3320,,,92
Indonesia,Gold,3327,,,180
Indonesia,Silver,3334,,,94
Indonesia,Bronze,3347,,,100
Indonesia,Bronze,3355,,,103
Indonesia,Bronze,3386,,,105
Indonesia,Bronze,3406,,,110
Indonesia,Bronze,3417,,,98
Indonesia,Gold,3424,,,130
Indonesia,Silver,3426,,,91
Canada,,,,,130
Canada,Bronze,2217,0.292,81.76,132
Canada,Silver,2262,0.52,145.6,168
Canada,Bronze,2430,0.286,80.08,215
Canada,Bronze,2462,1.067,298.76,344
Canada,Bronze,2567,0.626,175.28,227
Canada,Silver,2568,,,215
Canada,Bronze,2675,,,215
Canada,Silver,3001,,,190
Canada,Bronze,3109,0.35,98,200
Canada,Bronze,3160,,,140
Canada,Bronze,3198,0.315,88.2,131
Canada,Bronze,3228,0.286,80.08,130
Canada,Bronze,3406,,,180
Vietnam,,,,,100
Vietnam,Bronze,2318,0.254,71.12,130
Vietnam,Bronze,2750,0.584,163.52,300
Vietnam,Bronze,2840,,,196
Vietnam,Silver,3001,0.337,94.36,200
Vietnam,Bronze,3082,0.539,150.92,194
Vietnam,Bronze,3109,0.24,67.2,100
Vietnam,Bronze,3160,,,160
Vietnam,Bronze,3237,,,197
Philippines,,,,,140
Philippines,Bronze,2217,0.586,164.08,190
Philippines,Bronze,2263,1.084,303.52,349
Philippines,Bronze,2739,0.759,212.52,244
Philippines,Bronze,2750,1.086,304.08,350
Philippines,Silver,3001,0.337,94.36,144
Philippines,Bronze,3109,0.272,76.16,140
Philippines,Bronze,3160,,,190
